timestamp,layout.data_offset,data[0],data[1],data[2]
1752497240629954248,0.0,0.0,0.0,0.0
1752497240649667249,0.0,0.0,0.0,0.0
1752497240670317207,0.0,0.0,0.0,0.0
1752497240694484415,0.0,0.0,0.0,0.0
1752497240715764207,0.0,0.0,0.0,0.0
1752497240735121915,0.0,0.0,0.0,0.0
1752497240772177873,0.0,0.0,0.0,0.0
1752497240778494207,0.0,0.0,0.0,0.0
1752497240799694790,0.0,0.0,0.0,0.0
1752497240822213915,0.0,0.0,0.0,0.0
1752497240843094540,0.0,0.0,0.0,0.0
1752497240865127999,0.0,0.0,0.0,0.0
1752497240887536457,0.0,0.0,0.0,0.0
1752497240908223665,0.0,0.0,0.0,0.0
1752497240930490457,0.0,0.0,0.0,0.0
1752497240949861082,0.0,0.0,0.0,0.0
1752497240995792290,0.0,0.0,0.0,0.0
1752497241015272998,0.0,0.0,0.0,0.0
1752497241035387998,0.0,0.0,0.0,0.0
1752497241052096999,0.0,0.0,0.0,0.0
1752497241072977957,0.0,0.0,0.0,0.0
1752497241094471707,0.0,0.0,0.0,0.0
1752497241118964582,0.0,0.0,0.0,0.0
1752497241141164665,0.0,0.0,0.0,0.0
1752497241161749040,0.0,0.0,0.0,0.0
1752497241182806998,0.0,0.0,0.0,0.0
1752497241207644790,0.0,0.0,0.0,0.0
1752497241226514790,0.0,0.0,0.0,0.0
1752497241247752499,0.0,0.0,0.0,0.0
1752497241281832207,0.0,0.0,0.0,0.0
1752497241292035665,0.0,0.0,0.0,0.0
1752497241313576290,0.0,0.0,0.0,0.0
1752497241334107998,0.0,0.0,0.0,0.0
1752497241356481915,0.0,0.0,0.0,0.0
1752497241375396957,0.0,0.0,0.0,0.0
1752497241396071665,0.0,0.0,0.0,0.0
1752497241417267373,0.0,0.0,0.0,0.0
1752497241530826915,0.0,0.0,0.0,0.0
1752497241536753957,0.0,0.0,0.0,0.0
1752497241545797415,0.0,0.0,0.0,0.0
1752497241549333790,0.0,0.0,0.0,0.0
1752497241559584415,0.0,0.0,0.0,0.0
1752497241567574124,0.0,0.0,0.0,0.0
1752497241576956165,0.0,0.0,0.0,0.0
1752497241588695498,0.0,0.0,0.0,0.0
1752497241606179707,0.0,0.0,0.0,0.0
1752497241628634207,0.0,0.0,0.0,0.0
1752497241652619290,0.0,0.0,0.0,0.0
1752497241693775248,0.0,0.0,0.0,0.0
1752497241694650623,0.0,0.0,0.0,0.0
1752497241716565623,0.0,0.0,0.0,0.0
1752497241737806290,0.0,0.0,0.0,0.0
1752497241757956624,0.0,0.0,0.0,0.0
1752497241780413415,0.0,0.0,0.0,0.0
1752497241797417748,0.0,0.0,0.0,0.0
1752497241823190499,0.0,0.0,0.0,0.0
1752497241845629873,0.0,0.0,0.0,0.0
1752497241865133165,0.0,0.0,0.0,0.0
1752497241914924915,0.0,0.0,0.0,0.0
1752497241932473082,0.0,0.0,0.0,0.0
1752497241953587165,0.0,0.0,0.0,0.0
1752497241979509832,0.0,0.0,0.0,0.0
1752497241998748749,0.0,0.0,0.0,0.0
1752497242019229540,0.0,0.0,0.0,0.0
1752497242043610624,0.0,0.0,0.0,0.0
1752497242061419374,0.0,0.0,0.0,0.0
1752497242080399832,0.0,0.0,0.0,0.0
1752497242096488707,0.0,0.0,0.0,0.0
1752497242116336457,0.0,0.0,0.0,0.0
1752497242139157623,0.0,0.0,0.0,0.0
1752497242163356499,0.0,0.0,0.0,0.0
1752497242204053915,0.0,0.0,0.0,0.0
1752497242206371998,0.0,0.0,0.0,0.0
1752497242226534582,0.0,0.0,0.0,0.0
1752497242249582665,0.0,0.0,0.0,0.0
1752497242268679498,0.0,0.0,0.0,0.0
1752497242289843498,0.0,0.0,0.0,0.0
1752497242308840165,0.0,0.0,0.0,0.0
1752497242333975415,0.0,0.0,0.0,-1.0
1752497242353912499,0.0,0.0,0.0,-1.0
1752497242376119332,0.0,0.0,0.0,-1.0
1752497242407347915,0.0,0.0,0.0,-1.0
1752497242416719540,0.0,0.0,0.0,-1.0
1752497242439614790,0.0,0.0,0.0,-1.0
1752497242461550249,0.0,0.0,0.0,-1.0
1752497242566559832,0.0,0.0,0.0,-1.0
1752497242570029624,0.0,0.0,0.0,-1.0
1752497242573761415,0.0,0.0,0.0,-1.0
1752497242577550707,0.0,0.0,0.0,-1.0
1752497242578622873,0.0,0.0,0.0,-1.0
1752497242589245249,0.0,0.0,0.0,-1.0
1752497242609822998,0.0,0.0,0.0,-1.0
1752497242628832582,0.0,0.0,0.0,-1.0
1752497242650977873,0.0,0.0,0.0,-1.0
1752497242671679082,0.0,0.0,0.0,-1.0
1752497242696952373,0.0,0.0,0.0,-1.0
1752497242715565832,0.0,0.0,0.0,-1.0
1752497242739309749,0.0,0.0,0.0,-1.0
1752497242758171582,0.0,0.0,0.0,-1.0
